sampno,chhwgt,cexphhwgt,hctfip
7097720,0.714603675,279.780419,37
7097770,1.232821272,482.6720935,37
7097776,0.916491483,358.8231909,37
7097862,0.517432946,202.5844695,37
7097873,1.004132106,393.1360991,37
7097918,1.43302497,561.0555061,37
7097956,0.464944937,182.0344531,37
7098104,1.204303487,471.5068589,37
7098112,1.463515565,572.9931322,37
7098384,0.757851054,296.7125593,37
7098645,1.035525496,405.4271861,37
7098697,0.58777643,230.1252312,37
7098761,1.538527458,602.361661,37
7098818,1.600111496,626.4729393,37
7098909,0.880784029,344.8430694,37
7098930,1.314360885,514.5963448,37
7098940,0.739289172,289.4452429,37
7098990,1.100836758,430.9977404,37
7099047,2.065877081,808.8286912,37
7099095,1.655386258,648.1140201,37
7099137,0.685537137,268.4003374,37
7099150,1.634157205,639.8024575,37
7099163,1.726338771,675.893228,37
7099256,0.742062134,290.5309082,37
7099273,1.655386258,648.1140201,37
7099330,1.187721943,465.0148809,37
7099341,1.584187675,620.2384719,37
7099407,0.807121682,316.0029123,37
7099757,0.834577372,326.7523172,37
7099928,0.623169517,243.9822725,37
7100031,1.182968348,463.1537613,37
7100073,1.116232938,437.0256268,37
7100074,0.293105288,114.7560855,37
7100115,0.638536942,249.9989008,37
7100144,0.209757644,82.12395696,37
7100146,1.43302497,561.0555061,37
7100165,1.01698236,398.1672088,37
7100248,0.58777643,230.1252312,37
7100293,0.644274644,252.2453161,37
7100571,2.152309677,842.6686344,37
7100600,1.100836758,430.9977404,37
7100772,0.835003151,326.9190176,37
7100778,1.688655318,661.1394664,37
7100799,1.21701129,476.4821962,37
7100937,1.077508829,421.8644295,37
7101062,0.486649805,190.5323064,37
7101121,0.735818002,257.5687414,71
7101150,0.74938184,262.3166828,71
7101238,1.276591469,446.8632967,71
7101294,1.548823326,606.3926818,37
7101327,0.879735614,307.9462508,71
7101334,1.74548503,610.9967155,71
7101353,1.392092984,487.2939192,71
7101476,0.47837782,167.4533277,71
7101566,0.663696366,232.3229891,71
7101683,0.466670575,163.3552757,71
7101711,1.132539393,396.438719,71
7101726,1.150524707,402.734372,71
7101740,0.80610936,282.1738157,71
7101810,0.797085849,279.015189,71
7101860,0.599615394,209.8918238,71
7101915,1.320996563,462.4070371,71
7101925,0.942007788,329.7442572,71
7101936,1.363316999,477.2210557,71
7102036,1.746226492,683.6796346,37
7102046,1.04403221,408.7577202,37
7102062,1.227022137,480.4016261,37
7102145,0.649263967,254.1987273,37
7102169,0.604303957,236.5960603,37
7102255,0.517432946,202.5844695,37
7102288,0.409301591,160.2490649,37
7102528,1.107308236,433.5314427,37
7102603,1.387092403,543.0720653,37
7102777,1.655386258,648.1140201,37
7102877,0.496386337,194.3443367,37
7102898,0.935516364,366.2717801,37
7102982,0.626022691,245.0993423,37
7103069,0.77429197,303.1494791,37
7103121,1.600111496,626.4729393,37
7103144,0.866645789,339.3076896,37
7103199,0.51583672,201.9595177,37
7103227,0.649263967,254.1987273,37
7103284,1.317358237,515.7698627,37
7103627,0.87189755,341.3638501,37
7103710,1.717915265,672.5952713,37
7103723,1.343654404,526.0652934,37
7103791,1.187721943,465.0148809,37
7103883,0.453009309,177.3614366,37
7104099,0.577607942,226.1440819,37
7104144,0.529064336,207.1383715,37
7104176,0.922612804,361.2198004,37
7104214,1.387092403,543.0720653,37
7104273,1.43302497,561.0555061,37
7104327,1.341493427,525.2192316,37
7104348,0.835003151,326.9190176,37
7104398,0.409301591,160.2490649,37
7104405,0.694601785,271.9493128,37
7104410,0.517432946,202.5844695,37
7104462,0.638536942,249.9989008,37
7104496,0.478018597,187.1530306,37
7104510,0.398107319,155.8663025,37
7104512,0.561592391,219.8737004,37
