sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
2183999,2,1,3,2,1,0,1,1
2189741,1,1,6,6,0,0,0,0
2189741,2,1,4,4,0,0,0,0
2189741,3,1,0,0,0,0,0,0
2192767,1,1,0,0,0,0,0,0
2194348,1,1,4,4,0,1,1,1
2194710,1,1,14,12,2,0,2,2
2194710,2,1,4,4,0,0,0,0
2194710,3,1,10,6,4,0,4,4
2195394,1,1,3,3,0,0,0,0
2195580,1,1,9,9,0,0,0,0
2195942,1,1,5,4,1,0,1,1
2195942,2,1,2,2,0,0,0,0
2197883,1,1,2,3,-1,1,0,0
2197883,2,1,4,2,2,0,2,2
2199289,1,1,9,5,4,0,4,4
2199289,2,1,0,0,0,0,0,0
2199501,1,1,0,0,0,0,0,0
2199501,2,1,0,0,0,0,0,0
2200752,1,1,4,4,0,0,0,0
2201952,1,1,0,0,0,0,0,0
2203100,1,1,3,2,1,0,1,1
2203100,2,1,3,3,0,0,0,0
2206467,1,1,8,7,1,0,1,1
2215330,1,1,8,7,1,0,1,1
2215330,2,1,2,2,0,0,0,0
2215330,3,1,2,2,0,0,0,0
2217304,1,1,3,2,1,0,1,1
2218485,1,1,8,9,-1,1,0,0
2218485,2,1,4,4,0,0,0,0
2225855,1,1,7,6,1,0,1,1
2233056,1,1,2,2,0,0,0,0
2233056,2,1,10,10,0,0,0,0
2235192,1,1,8,10,-2,2,0,0
2236050,1,1,2,2,0,0,0,0
2236330,1,1,0,0,0,0,0,0
2236330,2,1,0,0,0,0,0,0
2236435,1,1,3,2,1,0,1,1
2236435,2,1,7,7,0,0,0,0
2239007,1,1,5,5,0,0,0,0
2239382,1,1,9,7,2,0,2,2
2246360,1,1,4,4,0,0,0,0
2246360,3,1,4,4,0,0,0,0
2246809,1,1,2,2,0,0,0,0
2246809,2,1,0,0,0,0,0,0
2248993,1,1,3,3,0,0,0,0
2252043,1,1,0,0,0,0,0,0
2253040,2,1,0,0,0,0,0,0
2253778,1,1,4,5,-1,2,1,1
2253778,2,1,0,0,0,0,0,0
2253778,3,1,5,5,0,0,0,0
2255433,1,1,0,0,0,0,0,0
2255433,2,1,0,0,0,0,0,0
2259514,1,1,3,2,1,0,1,1
2259514,2,1,0,0,0,0,0,0
2261479,1,1,1,12,-11,11,0,0
2264740,1,1,4,3,1,1,2,2
2264830,1,1,4,6,-2,3,1,1
2264830,2,1,4,4,0,0,0,0
2264830,3,1,1,2,-1,1,0,0
2266571,1,1,7,6,1,0,1,1
2266571,2,1,0,0,0,0,0,0
2267338,1,1,0,0,0,0,0,0
2267338,2,1,0,0,0,0,0,0
2267804,1,1,4,4,0,0,0,0
2267804,2,1,2,2,0,0,0,0
2268045,1,1,5,5,0,0,0,0
2268045,2,1,2,2,0,0,0,0
2269840,1,1,3,2,1,0,1,0
2281511,1,1,5,4,1,0,1,1
2281511,2,1,0,0,0,0,0,0
